,Name,R-RetTime,R-Type,R-Area,R-Height,R-Width,R-Start,R-End,R-HPLC-concentration,S-RetTime,S-Type,S-Area,S-Height,S-Width,S-Start,S-End,S-HPLC-concentration,R-OD600,R-Fluorescence,R-RFU/OD,R-Biosensor-concentration,S-OD600,S-Fluorescence,S-RFU/OD,S-Biosensor-concentration,HPLC batch,R-growth-plate,S-growth-plate,ired,run_order,R-Biosensor-concentration-err,S-Biosensor-concentration-err
60,IR21-1,5.098178387,VB  ,11718748.0,1303642.125,0.131434426,4.94351387,7.410974503,8.825731931,4.255473137,BB  ,40176.26172,7575.363281,0.079579666,4.140399933,4.37650013,1.610366313,0.847,5052,5964.580874,1.3491285974999998,0.886,13098,14783.29571,2.80475451875,1,1,2,IR21,60,1.151279988280571,3.146105320945776
61,IR21-2,5.06477499,VB  ,11191673.0,1202026.875,0.138134465,4.909110069,6.942444324,8.41286442,4.231421471,BB  ,44797.25,9684.56543,0.071670726,4.150350094,4.356933117,1.612713565,0.847,4713,5564.344746,1.1028469495,0.877,12855,14657.92474,2.76844271225,1,1,2,IR21,61,0.9673969222623725,3.057751434147338
62,IR21-3,5.089918137,VB  ,11331580.0,1232994.375,0.13673009,4.933255196,7.073710442,8.522435934,4.249812126,BB  ,43234.65234,9638.488281,0.070037305,4.169933319,4.37886095,1.611919726,0.852,4460,5234.741784,0.91254653725,0.886,12552,14167.04289,2.6439908145,1,1,2,IR21,62,0.8375314888978092,3.051529653223096
63,IR22-1,5.103846073,VB  ,9697518.0,1060661.125,0.133227155,4.948206425,7.307933331,7.243285935,4.260241985,BB  ,650166.875,128695.7578,0.079599626,4.110883236,4.477543831,1.928706929,0.862,3865,4483.758701,0.65735466275,0.801,13153,16420.72409,3.34951296825,1,1,2,IR22,63,0.6369760300667966,3.5674941011604866
64,IR22-2,5.084872246,VB  ,8621215.0,904926.4375,0.140658081,4.927892208,6.904600143,6.401009464,4.242395878,BB  ,798493.25,158961.5781,0.076313816,4.140366554,4.489213943,2.008702188,0.866,3750,4330.254042,0.6446730270000001,0.904,13557,14996.68142,2.9385427490000002,1,1,2,IR22,64,0.6216799109501591,3.2135516111744047
65,IR22-3,5.075622082,VB  ,9345232.0,980811.75,0.140670687,4.919140816,6.94331646,6.967608318,4.235842705,BB  ,757348.8125,152584.8125,0.075612053,4.130549908,4.489608288,1.986410775,0.839,3483,4151.370679,0.6169305100000001,0.82,12999,15852.43902,3.065915758,1,1,2,IR22,65,0.5944218865755722,3.4403083389211355
66,IR23-1,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.826,4935,5974.576271,1.4246580747500002,0.882,12152,13777.77778,2.5103246,1,1,2,IR23,66,1.1403694875695518,2.8388512305945865
67,IR23-2,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.704,3737,5308.238636,0.976703925,0.769,10554,13724.3173,2.5567346549999996,1,1,2,IR23,67,0.8745847050390514,2.923389287358381
68,IR23-3,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.826,4120,4987.893462,0.8256651904999999,0.798,10967,13743.10777,2.6390747445,1,1,2,IR23,68,0.7594710600357668,2.957896579104065
69,IR24-1,5.072219372,VB  ,640882.9375,42595.32422,0.199144945,4.949864864,6.450828075,0.114363008,4.24505043,BB  ,1142999.75,232473.0313,0.075071476,4.140333176,4.523536205,2.198406187,0.79,2751,3482.278481,0.502601582,0.764,13291,17396.59686,3.8893063712499996,1,1,2,IR24,69,0.4591234391789808,3.842359894888376
70,IR24-2,5.041611195,VB  ,545746.1875,39524.21484,0.184702113,4.927097321,6.14746666,0.038540063,4.220643997,BB  ,1158763.125,233865.5781,0.078466296,4.111183167,4.477927685,2.207216977,0.779,2584,3317.073171,0.4891169575,0.778,13466,17308.48329,3.9064448647500005,1,1,2,IR24,70,0.4619949974333999,3.801393151584443
71,IR24-3,5.038220882,VB  ,362461.9688,38161.42188,0.137371451,4.924298763,5.589182377,0.0,4.22075367,BB  ,1205277.875,246053.8281,0.074858367,4.110849857,4.519091606,2.233282584,0.832,2631,3162.259615,0.46893009075000003,0.876,13610,15536.52968,3.0314307805,1,1,2,IR24,71,0.4315141560121887,3.3041032186851793
72,IR25-1,5.05973959,VB  ,4318013.0,498242.5625,0.130624026,4.91797924,6.437300205,3.025454867,4.242259979,BB  ,289758.4375,60206.26563,0.073858887,4.140333176,4.479716778,1.738548848,0.828,3030,3659.42029,0.52316124275,0.892,11159,12510.08969,2.26601790875,1,1,2,IR25,72,0.493644647681696,2.6624151462970267
73,IR25-2,5.058739662,VB  ,4186534.0,494245.8125,0.125383079,4.920892715,6.537650108,2.921917714,4.234971523,BB  ,265232.4375,48751.18359,0.084127888,4.110833168,4.425616741,1.725825623,0.82,2570,3134.146341,0.46949198049999996,0.836,10637,12723.68421,2.38654655075,1,1,2,IR25,73,0.4407027433113409,2.7054790251888114
74,IR25-3,5.048575878,VB  ,3932291.5,441292.4063,0.130519941,4.913770199,6.513971806,2.721610696,4.234648705,BB  ,258358.2344,51456.62109,0.076282099,4.091233253,4.41914463,1.722264493,0.851,2941,3455.934195,0.50008939025,0.81,9891,12211.11111,2.2032068445000004,1,1,2,IR25,74,0.4719727655221072,2.5649554992346633
75,IR26-1,4.96637392,VB  ,35541304.0,3617378,0.150041819,4.821815968,6.36607933,28.57343283,4.238843441,BB  ,201356.6875,45546.94141,0.069281705,4.146366596,4.411596298,1.692819008,0.837,53759,64228.19594,50.86369775,0.866,14874,17175.51963,3.7714694079999997,2,1,2,IR26,75,1.7046622627414902,3.794814007505968
76,IR26-2,5.076313496,VB  ,38687220.0,2676803.25,0.236490637,4.867296696,6.097492695,31.48486048,4.246405602,BB  ,178739.4531,40319.94531,0.069423661,4.150233269,4.386135578,1.681176962,0.837,51836,61930.7049,49.089367800000005,0.855,13796,16135.67251,3.308889452,2,1,2,IR26,76,1.6801682655431152,3.486099486300556
77,IR26-3,5.057834148,VB  ,36736188.0,2550390.75,0.218218312,4.854518414,7.695359707,29.66729439,4.246769428,BB  ,147250.0313,32261.36719,0.070954978,4.150249958,4.378919601,1.665007215,0.828,48167,58172.70531,46.186570374999995,0.857,13761,16057.1762,3.38505480875,2,1,2,IR26,77,1.6217414215342283,3.5167157379684526
78,IR27-1,5.037070751,VB  ,12350548.0,1000715.563,0.188251704,4.857702732,6.128600597,9.320951814,4.24858284,BB  ,1522285.75,308898.125,0.078154691,4.140349865,4.445534229,2.413575729,0.862,5073,5885.150812,1.2891380087500002,0.871,14537,16690.01148,3.69155493425,2,1,2,IR27,78,1.069692423224354,3.7800113372230437
